ranking,score,movie_name,daoyan_info,score_num
182,8.7,爆裂鼓手,,340949
183,8.5,功夫,,517606
184,9.0,雨中曲,,131297
185,8.7,黑客帝国3：矩阵革命,,243278
186,9.1,海洋,,119811
187,8.6,人工智能,,272382
188,8.8,房间,,243565
189,8.6,魔女宅急便,,295388
190,8.8,燃情岁月,,193152
191,8.7,海街日记,,230474
192,8.4,恐怖游轮,,486066
193,8.6,穿越时空的少女,,263728
194,8.9,惊魂记,,136958
195,8.8,罗生门,,188367
196,8.8,魂断蓝桥,,172222
197,8.5,完美陌生人,,350719
198,8.5,猜火车,,315849
199,8.4,釜山行,,620618
200,8.5,阿飞正传,,312410
201,8.4,疯狂的石头,,482668
202,8.5,香水,,378417
203,8.6,奇迹男孩,,348927
204,8.7,终结者2：审判日,,213921
205,8.7,可可西里,,181010
206,8.8,牯岭街少年杀人事件,,158768
207,8.4,初恋这件小事,,670746
208,8.6,谍影重重2,,229744
209,8.6,谍影重重,,273923
210,8.6,战争之王,,235575
211,8.7,新世界,,171159
212,8.5,朗读者,,342862
213,8.7,浪潮,,181155
214,8.9,地球上的星星,,128576
215,8.5,青蛇,,319455
216,8.8,2001太空漫游,,165972
217,8.8,爱在午夜降临前,,178226
218,8.6,新龙门客栈,,274200
219,9.6,人生果实,,51956
220,8.5,无耻混蛋,,310560
221,8.4,源代码,,538814
222,8.8,步履不停,,150606
223,8.8,绿里奇迹,,158959
224,8.5,小萝莉的猴神大叔,,293879
225,8.5,再次出发之纽约遇见你,,260115
226,8.9,追随,,114209
227,8.6,血钻,,210779
228,8.5,彗星来的那一夜,,296997
229,8.7,一次别离,,175489
230,9.3,城市之光,,69849
232,8.6,疯狂的麦克斯4：狂暴之路,,316837
233,9.2,东京物语,,77731
235,8.6,撞车,,227766
236,8.8,聚焦,,181521
237,8.7,梦之安魂曲,,150338
238,8.5,发条橙,,253932
239,8.6,遗愿清单,,207952
240,8.6,黑鹰坠落,,180149
241,8.6,E.T. 外星人,,222281
242,8.3,驴得水,,541686
243,8.4,色，戒,,389592
244,9.0,我爱你,,90822
245,8.7,末路狂花,,144688
246,8.5,这个男人来自地球,,254845
247,8.5,变脸,,284516
248,8.7,千钧一发,,140940
249,8.4,国王的演讲,,453015
250,8.7,小偷家族,,477906
